taxon	min	max
Aceratherium_incisivum	5.333	11.62
Acerorhinus_zernowi	8.7	9.7
Alicornops_simorrense	8.9	19.5
Amphicaenopus_platycephalus	20.43	33.3
Aphelops_megalodus	0.3	15.97
Aprotodon_fatehjangense	11.2	19.5
Brachypotherium_brachypus	7.246	15.97
Bugthirhinus_praecursor	17.2	23.03
Caementodon_oettingenae	12.85	19.5
Penetrigonias_dakotensis	30.8	37.2
Ceratotherium_neumayri	2.588	7.246
Ceratotherium_simum	0	2.588
Chilotherium_anderssoni	5.333	11.608
Epiaceratherium_itjilik	21.5	25.5
Diaceratherium_aginense	19.5	21.7
Diceratherium_armatum	20.44	33.3
Dicerorhinus_sumatrensis	0	2.588
Diceros_bicornis	0	3.6
Dihoplus_schleiermacheri	1.806	11.608
Elasmotherium_sibiricum	2.58	3.5
Epiaceratherium_bolcense	28.4	33.9
Epiaceratherium_naduongense	33.9	41.3
Epiaceratherium_magnum	28.1	33.9
Epiaceratherium_delemontense	23.03	33.9
Floridaceras_whitei	15.97	20.43
Gaindatherium_browni	5.33	17.13
Hispanotherium_matritense	5.333	15.97
Hoploaceratherium_tetradactylum	11.608	15.97
Huaqingtherium_lintungense	11.1	15
Hyrachyus_eximius	40.4	46.2
Iranotherium_morgani	7.1	9.9
Kenyatherium_bishopi	9.5	9.94
Lartetotherium_sansaniense	9.72	17.2
Menoceras_arikarense	20.43	23.03
Mesaceratherium_gaimersheimense 	23.03	28.4
Molassitherium_albigense	23.03	28.4
Parelasmotherium_schansiense	9.5	11.2
Peracerus_profectum	5.333	15.97
Persiatherium_rodleri	8.7	11.608
Plesiaceratherium_gracile	5.333	11.608
Pleuroceros_pleuroceros	22.4	23.03
Procoelodonta_mongoliense	12.85	14.2
Prosantorhinus_douvillei	7.246	15.97
Protaceratherium_minutum	7.246	23.03
Rhinoceros_sondaicus	0	0.781
Rhinoceros_unicornis	0	0.781
Ronzotherium_filholi	28.1	33.9
Shansirhinus_ringstroemi	2.588	5.333
Shennongtherium_hypsodontus	11	13.5
Sinotherium_lagrelii	5.5	8.97
Subhyracodon_occidentalis	15.97	33.9
Teleoceras_fossiger	1.8	10.3
Teletaceras_radinskyi	37.2	40.4
Trigonias_osborni	33.9	37.2
Uintaceras_radinskyi	40.4	46.2
Nesorhinus_philippinensis	0.126	2.588	
Coelodonta_antiquitatis	0.0117	2.588

